Shoulder Flex/Ext (Unilateral);;;;;;;;;;;;;;;;;;;
Model;Rep;Left Peak Frame;Left Peak Time (s);Left Peak (°);Left Valley Frame;Left Valley Time (s);Left Valley (°);ROM (°);Right Peak Frame;Right Peak Time (s);Right Peak (°);Right Valley Frame;Right Valley Time (s);Right Valley (°);ROM (°);;;;
NOT_C7;6;3379;33.79;18.71;3602;36.02;-20.14;38.85;;;;;;;;;;;
NOT_C7;7;3811;38.11;19.07;4025;40.25;-21.32;40.39;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Thorax Lateral Inclination (Bilateral);;;;;;;;;;;;;;;;;;;
Model;Rep;Left Peak Frame;Left Peak Time (s);Left Peak (°);Left Valley Frame;Left Valley Time (s);Left Valley (°);ROM (°);;;;;;;;;;;
Complete;1;1273;12.73;47.63;1529;15.29;-55.17;102.8;;;;;;;;;;;
Complete;2;1709;17.09;47.56;1954;19.54;-56.14;103.7;;;;;;;;;;;
Complete;3;2150;21.5;45.11;2381;23.81;-55.22;100.33;;;;;;;;;;;
Complete;4;2573;25.73;47.51;2809;28.09;-54.96;102.47;;;;;;;;;;;
Complete;5;2983;29.83;48.63;3219;32.19;-51.45;100.07;;;;;;;;;;;
Complete;6;3386;33.86;47.63;3614;36.14;-54.41;102.04;;;;;;;;;;;
Complete;7;3808;38.08;44.47;4024;40.24;-55.61;100.08;;;;;;;;;;;
C7;1;1277;12.77;47.25;1531;15.31;-54.21;101.46;;;;;;;;;;;
C7;2;1709;17.09;47.88;1954;19.54;-54.49;102.37;;;;;;;;;;;
C7;3;2154;21.54;46;2381;23.81;-51.83;97.83;;;;;;;;;;;
C7;4;2575;25.75;46.7;2809;28.09;-54.54;101.24;;;;;;;;;;;
C7;5;2985;29.85;48.01;3219;32.19;-48.36;96.37;;;;;;;;;;;
C7;6;3387;33.87;45.33;3614;36.14;-53.55;98.88;;;;;;;;;;;
