Movement,Model,Anatomic_Distances,Rep,Left_Peak_frame,Left_Peak_time_s,Left_Peak_deg,Left_Valley_frame,Left_Valley_time_s,Left_Valley_deg,Left_ROM_deg,Right_Peak_frame,Right_Peak_time_s,Right_Peak_deg,Right_Valley_frame,Right_Valley_time_s,Right_Valley_deg,Right_ROM_deg
Shoulder Flex/Ext,NOT_C7,PX_C7,3,2331,23.31,157.42,2655,26.55,-52.9,210.31,2251.0,22.51,159.87,2535.0,25.35,-48.88,208.76
Shoulder Flex/Ext,NOT_C7,PX_C7,4,2986,29.86,154.66,3321,33.21,-52.08,206.73,2871.0,28.71,159.59,3147.0,31.47,-47.19,206.78
Shoulder Flex/Ext,NOT_C7,PX_C7,5,3637,36.37,155.2,3923,39.23,-46.31,201.51,3475.0,34.75,161.15,3779.0,37.79,-48.03,209.18
Shoulder Flex/Ext,NOT_C7,PX_C7,6,4246,42.46,152.63,4555,45.55,-51.82,204.44,4129.0,41.29,161.93,4401.0,44.01,-49.28,211.21
Shoulder Flex/Ext,NOT_C7,PX_C7,7,4914,49.14,156.17,5191,51.91,-49.79,205.96,4702.0,47.02,159.01,4959.0,49.59,-44.78,203.79
Shoulder Flex/Ext,NOT_C7,IJ_PX_C7,1,981,9.81,158.17,1323,13.23,-52.12,210.29,872.0,8.72,158.33,1176.0,11.76,-44.54,202.87
Shoulder Flex/Ext,NOT_C7,IJ_PX_C7,2,1715,17.15,156.57,1998,19.98,-54.31,210.88,1572.0,15.72,160.2,1896.0,18.96,-46.53,206.74
Shoulder Flex/Ext,NOT_C7,IJ_PX_C7,3,2331,23.31,156.78,2655,26.55,-53.53,210.31,2251.0,22.51,159.24,2535.0,25.35,-49.52,208.76
Shoulder Flex/Ext,NOT_C7,IJ_PX_C7,4,2986,29.86,154.02,3321,33.21,-52.72,206.73,2871.0,28.71,158.95,3147.0,31.47,-47.83,206.78
Shoulder Flex/Ext,NOT_C7,IJ_PX_C7,5,3637,36.37,154.56,3923,39.23,-46.95,201.51,3475.0,34.75,160.51,3779.0,37.79,-48.67,209.18
Shoulder Flex/Ext,NOT_C7,IJ_PX_C7,6,4246,42.46,151.99,4555,45.55,-52.45,204.44,4129.0,41.29,161.29,4401.0,44.01,-49.92,211.21
Shoulder Flex/Ext,NOT_C7,IJ_PX_C7,7,4914,49.14,155.53,5191,51.91,-50.43,205.96,4702.0,47.02,158.37,4959.0,49.59,-45.42,203.79
Shoulder Flex/Ext,NOT_C7,Perfect,1,981,9.81,160.84,1323,13.23,-49.45,210.29,872.0,8.72,161.0,1176.0,11.76,-41.87,202.87
Shoulder Flex/Ext,NOT_C7,Perfect,2,1715,17.15,159.24,1998,19.98,-51.64,210.88,1572.0,15.72,162.88,1896.0,18.96,-43.86,206.74
Shoulder Flex/Ext,NOT_C7,Perfect,3,2331,23.31,159.45,2655,26.55,-50.86,210.31,2251.0,22.51,161.91,2535.0,25.35,-46.85,208.76
Shoulder Flex/Ext,NOT_C7,Perfect,4,2986,29.86,156.69,3321,33.21,-50.04,206.73,2871.0,28.71,161.62,3147.0,31.47,-45.16,206.78
Shoulder Flex/Ext,NOT_C7,Perfect,5,3637,36.37,157.23,3923,39.23,-44.28,201.51,3475.0,34.75,163.18,3779.0,37.79,-46.0,209.18
